"","temp","atemp","hum","windspeed","registered","casual","cnt","season"
"1",3.94958687170071e-05,4.17288271746615e-05,9.24756713334863e-05,1.8412439752123e-05,0.0750516410374111,0.0379848519623594,985,1
"2",4.17119577691072e-05,4.05943309616709e-05,7.98814551296764e-05,2.85218039935736e-05,0.0768877668120266,0.0150332797796649,801,1
"3",2.25343126004131e-05,2.17357126463163e-05,5.01805141152169e-05,2.84954096855635e-05,0.141037411062658,0.0137709433096167,1349,1
"4",2.29515721826945e-05,2.43426669726876e-05,6.77570576084462e-05,1.8395226072986e-05,0.166857929768189,0.012393848978655,1562,1
"5",2.6045099839339e-05,2.63105347716319e-05,5.01442506311682e-05,2.1448244204728e-05,0.174202432866651,0.00941014459490475,1600,1
"6",2.34505393619463e-05,2.676256598577e-05,5.94745237548772e-05,1.02783107642874e-05,0.174202432866651,0.0100986917603856,1606,1
"7",2.25524443424375e-05,2.39659169153087e-05,5.72292862061051e-05,1.93626348404866e-05,0.15630020656415,0.0169841634151939,1510,1
"8",1.8935047050723e-05,1.86199219646546e-05,6.14910488868488e-05,3.06178563231581e-05,0.102249254073904,0.00780353454211613,959,1
"9",1.58747991737434e-05,1.33319944916227e-05,4.98240761992197e-05,4.15366077576314e-05,0.0881340371815469,0.00619692448932752,822,1
"10",1.73092724351618e-05,1.7315584117512e-05,5.54185219187514e-05,2.56216433325683e-05,0.146890061969245,0.00470507229745238,1321,1
"11",1.940452145972e-05,2.19719990819371e-05,7.87656644480147e-05,1.40156070690842e-05,0.140004590314437,0.00493458801927932,1263,1
"12",1.98217810420014e-05,1.84155382143677e-05,6.88025017213679e-05,3.49583428964884e-05,0.130479687858618,0.00286894652283681,1162,1
"13",1.8935047050723e-05,1.73150103282075e-05,5.3984048657333e-05,3.45421161349552e-05,0.15698875372963,0.00436079871471196,1406,1
"14",1.84610970851503e-05,2.16218728482901e-05,6.17197613036493e-05,1.45223777828781e-05,0.156873995868717,0.00619692448932752,1421,1
"15",2.67767959605233e-05,2.84728023869635e-05,5.72354831305944e-05,1.81274959834749e-05,0.117741565297223,0.0254762451227909,1248,1
"16",2.65856093642415e-05,2.68782419095708e-05,5.55141152168924e-05,2.16241680055084e-05,0.109364241450539,0.0288042230892816,1204,1
"17",2.01782189579986e-05,2.02858618315355e-05,6.16823502409915e-05,2.22649759008492e-05,0.101331191186596,0.0134266697268763,1000,1
"18",2.48642414505394e-05,2.66620380996098e-05,9.88830617397292e-05,1.68435850355749e-05,0.0773467982556805,0.00103282074822125,683,1
"19",3.35292632545329e-05,3.42462703695203e-05,8.51203809960982e-05,2.39060133119119e-05,0.180399357355979,0.00895111315125086,1650,1
